,Emotion,URLs,color
39,happy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV0iFTDipYvhg9GObg6jM47sKtqohXtClED7t_dEzmL9K4qIe5HXdllz9lqN0&s,"(247, 248, 29)"
40,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx3tebApK-GSoliBABo6ng88CMpeyxNOCxPZVvjtzVjQhdKJ_b_bLOtM9VNw&s,"(41, 41, 50)"
41,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVcfno3xPENVUHADhyet9NbEjENUyUA66IWUuWYaLOd48SR2m1PRmvtnziplY&s,"(185, 155, 120)"
42,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQF7jXHBhVKyr0C5bUdaXC7rKs5rj7EazFu3RDsADP0VES0WPpmFgLMtF4HwA&s,"(123, 122, 121)"
43,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzMXlJvsfKYTZwskf6ZY5oqwWkZxV3Qh91JpOwcKNOI9xTTWZwajt_Up_NLg&s,"(80, 97, 124)"
44,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8VmMemPcTfCxgxfE47dtsU6fSiHuukkuCgQjPK2RCqG-vbEyENo2Mg1KnpQ&s,"(55, 61, 59)"
45,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnKWcXNC8NFtn7VAMfxJ979xPeFUgRp5Sfq9giTGezQBUn-ivXYBTdxQ92ti0&s,"(34, 53, 67)"
46,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4y7L9kx6bXOVLGpghAS2q54j8stAgzs8usrWaaVOiREEfxkIz4em7aZJkkeM&s,"(53, 59, 64)"
47,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaVze68xMjtntMG-qao7EKekin7ACxfUMe_JBYNSkSglBiZ0I4rFdAgVdASUE&s,"(70, 73, 74)"
48,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSo34D0lqng7w1jZBwCGibsh6jNit9T59T8VV6hquIlGmBWj4JLN0y1L2i9ug&s,"(34, 31, 25)"
49,sad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZ1PrKwhH2RzGaLFex6vjXsKTo6NVJ5L8A9daj-Bey1eFmpCREivLvd6rbzQ&s,"(65, 47, 26)"
